name	type	sub_type	entry	summary
pro analysis of Argument Ellipsis	hypothesis			
Argument Ellipsis Possible in Japanese	hypothesis			
AE-sloppy	hypothesis			
AE-quantificational	hypothesis			
LF-copying analysis of Argument Ellipsis	hypothesis			
verb-stranding VP-ellipsis analysis of Argument Ellipsis	hypothesis			
abe2009g	hypothesis			
Cyclic Transfer by phase	hypothesis			
phasevPCP	hypothesis			
MoPositive	hypothesis			
abe2011LR	hypothesis			
soh2003p371g	hypothesis			
Late Insertion of Adjuncts	hypothesis			
oblique movement analysis of null adjunct	hypothesis			
contrastiveness requirement	hypothesis			
funakoshi2016aEx2a	hypothesis			
funakoshi2016aEx2b	hypothesis			
funakoshi2016aEx2c	hypothesis			
funakoshi2016aEx7a	hypothesis			
funakoshi2016aEx7b	hypothesis			
funakoshi2016aEx11a	hypothesis			
funakoshi2016aEx11b	hypothesis			
verb-stranding VP-ellipsis	hypothesis			
null adjunct	hypothesis			
verb movement/raising	hypothesis			
adjunct ellipsis	hypothesis			
syntactic deletion	hypothesis			
pro analysis	hypothesis			
de se分析	hypothesis			
movement + deletion analysis (of ellipsis)	hypothesis			
Optional Quantifier Merger	hypothesis			
low VP coordination	hypothesis			
anaphoric analysis (ellipsis)	hypothesis			
remnant extraction (VP ellipsis)	hypothesis			
P-stranding generalization	hypothesis			
e-GIVENness	hypothesis			
Conjunction Reduction	hypothesis			
coordination scope generalization	hypothesis			
connectivity effects	hypothesis			
Heavy NP Shift (HNPS)	hypothesis			
prosodic licensing	hypothesis			
parasitic scope	hypothesis			
higher-order unification	hypothesis			
Question Under Discussion (QUD)	hypothesis			
LF-copy	hypothesis			
sprouting	hypothesis			
PF-deletion	hypothesis			
across-the-board movement (ATB movement)	hypothesis			
comparative deletion	hypothesis			
pseudogapping as VP ellipsis	hypothesis			
SS1	hypothesis			
SS2	hypothesis			
SS3	hypothesis			
SMT	hypothesis			
Merge-only hypothesis	hypothesis			
Merge (n-ary)	hypothesis			
SEM-mapping	hypothesis			
PHON-mapping	hypothesis			
Symmetry Principle	hypothesis			
Transfer-NF	hypothesis			
PIC	hypothesis			
k-R	hypothesis			
DM1	hypothesis			
DM2	hypothesis			
semphonF	hypothesis			
FI	hypothesis			
chainInt	hypothesis			
Transfer Multiple Agreement	hypothesis			
CasePhi	hypothesis			
Generalized Predication	hypothesis			
aboutnessProposition	hypothesis			
MERGE	hypothesis			
IsAccessible	hypothesis			
features asymmetrize	hypothesis			
termOf	hypothesis			
sisterOf	hypothesis			
Extrinsic Uniformity	hypothesis			
Intrinsic Uniformity	hypothesis			
Derivation	hypothesis			
Feature-Equilibrium	hypothesis			
chain	hypothesis			
nondistinctness	hypothesis			
InTheDomainOf	hypothesis			
WS	hypothesis			
BP	hypothesis			
discrete infinity	hypothesis			
ubiquity of movement	hypothesis			
copy theory	hypothesis			
copies featurally nondistinct	hypothesis			
structure dependence	hypothesis			
structure dependence not choice	hypothesis			
strict NTC	hypothesis			
base and TO	hypothesis			
no head-adjunction	hypothesis			
inclusiveness	hypothesis			
linear order irrelevant	hypothesis			
symmetry of Merge	hypothesis			
no projection	hypothesis			
no pair-Merge (no order-assignment)	hypothesis			
no specifier-of	hypothesis			
no checking-Merge	hypothesis			
Unboundedness of Merge	hypothesis			
STC	hypothesis			
TO-equilibrium	hypothesis			
categorizer phase	hypothesis			
F-symmetry	hypothesis			
Holmberg’s Generalization:	hypothesis			
FSC	hypothesis			
phi-symmetry	hypothesis			
EPP-Phi	hypothesis			
phasehood of TP	hypothesis			
phasehood of wh-interrogative clauses	hypothesis			
transitive verb phase	hypothesis			
PP phase	hypothesis			
EPP-q	hypothesis			
local instability-NF	hypothesis			
Criterion Effect	hypothesis			
matrixTransfer	hypothesis			
Multiplicity of Transfer	hypothesis			
binarity of Merge	hypothesis			
NoAgree	hypothesis			
MEC	hypothesis			
NoMultipleSpec_q	hypothesis			
Stability of wh-interrogatives	hypothesis			
