from	from_type	type	to	to_type
Kishimoto2008MS		relation	subject-orientation of zibun	
KimuraNarita2021-4b		relation	KimuraNarita2021-3b1Q	
Fukui1999b		relation	Kuroda1988	
OHE16-Movement-and-Islands-5b-ii		relation	OHE16-Movement-and-Islands-4b-ii	
陳述(国語学)		relation	文(時枝誠記)	
Iwasaki2018		relation	c-commanding requirement of zibun binding	
OHE16-Movement-and-Islands-5a-ii		relation	OHE16-Movement-and-Islands-4a-ii	
OHE16-Movement-and-Islands-5a-i		relation	OHE16-Movement-and-Islands-4a-i	
A-over-A principle		relation	Relativized Minimality	
Miyamoto2016		relation	c-commanding requirement of zibun binding	
Case Follows		relation	Futagi-diss-9a	
Takita2016		relation	subject-orientation of zibun	
scrambling		relation	Economy Principle	
KimuraNarita2021-4a		relation	KimuraNarita2021-3a1Q	
P-ordering and Scope		relation	Futagi-diss-1	
陳述(国語学)		relation	辞(時枝誠記)	
時枝1941		relation	山田1936	
OHE10-ellipsis-in-inquisitive-semantics-44c		relation	Question Under Discussion (QUD)	
summative agreement		relation	Chaves2014	
OHE16-Movement-and-Islands-2c		relation	OHE16-Movement-and-Islands-2a-ii	
OHE16-Movement-and-Islands-38b		relation	OHE16-Movement-and-Islands-38a	
OHE10-ellipsis-in-inquisitive-semantics-44b		relation	Question Under Discussion (QUD)	
時枝1941		relation	logical subject	
Hendriks1995a		relation	Hendriks1995b	
SaitoMurasugi1990		relation	Lobeck1990	
KimuraNarita2021-3a1Q		relation	KimuraNarita2021-3b2	
Sugisaki2016		relation	subject-orientation of zibun	
OHE10-ellipsis-in-inquisitive-semantics-34		relation	Question Under Discussion (QUD)	
ShiraishiEA2019Glossa		relation	AoiShirashiB.HemforthA.Abeillé2016	
格(国語学)		relation	文(時枝誠記)	
陳述(国語学)		relation	詞(時枝誠記)	
Fukui1993		relation	Chomsky1991	
KubotaLevine2017		relation	YoshidaEA2012	
Newmeyer2016		relation	syntactic account of islands	
Lin2002		relation	Lin2000	
Miyamoto2016		relation	subject-orientation of zibun	
Steinert-ThrelkeldSzymanik2019		relation		
Ross1969a		relation	Ross1967a	
Kawahara2026b		relation	Kawahara2026c	
Chen2019		relation	containment hypothesis	
Kuno 1982-21b		relation	Kuno 1982-21a	
IharaMizutani2021		relation	CoppockBrochhagen2013	
LasnikSaito1984a		relation	Chomsky1981a	
uniqueness parameter		relation	agreement parameter	
Kuno 1982-23b		relation	Kuno 1982-23a	
KubotaIdo2024		relation	multi-dimensional semantics	
		relation	Kawahara2026-AI-note	
OHE16-Movement-and-Islands-40a		relation	OHE16-Movement-and-Islands-40c	
Sugisaki2016		relation	c-commanding requirement of zibun binding	
Scope Ceiling		relation	Futagi-diss-6	
KubotaLevine2021a		relation	Pollock1989	
Futagi-diss-generalization		relation	Futagi-diss-2i	
KimuraNarita2021-4c		relation	KimuraNarita2021-3c1Q	
OHE22-Nominal-Ellipsis-10a		relation	OHE22-Nominal-Ellipsis-33	
Barker2007		relation	prosodic lambda binding	
Toosarvandani2013		relation	Coppock2001	
Takahashi2016		relation	subject-orientation of zibun	
OHE22-Nominal-Ellipsis-54		relation	OHE22-Nominal-Ellipsis-56b	
		relation	川原:オープンサイエンスの危機	
Chomsky1977		relation	Bresnan1976	
Kuno 1982-24b		relation	Kuno 1982 24a	
Kawahara2026a		relation	McCarthy2008	
Chomsky1965		relation	KatzPostal1964	
Fukui1986/1995		relation	Kuroda1988	
Saito2016		relation	c-commanding requirement of zibun binding	
主語格		relation	述語格	
Fukui1999b		relation	Takeda1999	
Nadathur2023		relation	Causal Premise Semantics	
summative agreement		relation	BeaversSag2004	
Futagi-diss-generalization		relation	Futagi-diss-1	
Takahashi2008MS		relation	subject-orientation of zibun	
Takita2016		relation	c-commanding requirement of zibun binding	
Huang1982a		relation	head parameter	
Y.Hasegawa2018ST		relation	c-commanding requirement of zibun binding	
OHE16-Movement-and-Islands-9a		relation	OHE16-Movement-and-Islands-9b	
Takahashi2008MS		relation	c-commanding requirement of zibun binding	
Steinert-ThrelkeldSzymanik2019		relation		
Cook2018		relation	subject-orientation of zibun	
head parameter		relation	X-bar theory	
Baltin1982		relation	Emonds1976	
Kertz2013		relation	Kehler2002	
Pollock1989		relation	Emonds1978	
head parameter		relation	Final-over-Final Constraint	
OHE10-ellipsis-in-inquisitive-semantics-22		relation	e-GIVENness	
Ajdukiewicz1935		relation	Bar-Hillel1953	
OHE16-Movement-and-Islands-40a		relation	OHE16-Movement-and-Islands-40b	
Nakamura2013a		relation	Kertz2013	
Koizumi2008MS		relation	c-commanding requirement of zibun binding	
IharaMizutani2021		relation	Coppock2016	
Bresnan1976		relation	A-over-A principle	
OHE22-Nominal-Ellipsis-54		relation	OHE22-Nominal-Ellipsis-56a	
Kishimoto2016		relation	c-commanding requirement of zibun binding	
Kuno 1982-22b		relation	Kuno 1982-22a	
Lechner2001		relation	direct analysis of comparative	
Case Follows		relation	Futagi-diss-8a	
IdoKubota2021		relation	Futagi2004	
OHE10-ellipsis-in-inquisitive-semantics-44d		relation	Question Under Discussion (QUD)	
OHE22-Nominal-Ellipsis-54		relation	OHE22-Nominal-Ellipsis-55b	
logical subject		relation	deep subject	
Jager2005		relation	variable-free semantics	
Y.Hasegawa2018ST		relation	subject-orientation of zibun	
Oshima2016		relation	multi-dimensional semantics	
FukuiTakano1998		relation	Kayne1994	
OHE16-Movement-and-Islands-5b-i		relation	OHE16-Movement-and-Islands-4b-i	
Newmeyer2016		relation	processing-based analysis of islands	
Cook2018		relation	c-commanding requirement of zibun binding	
Steinert-ThrelkeldSzymanik2019		relation		
OHE22-Nominal-Ellipsis-54		relation	OHE22-Nominal-Ellipsis-55a	
Park2019		relation	ParkEA2019	
Oshima2016		relation	multi-dimensional semantics	
KimuraNarita2021-4d		relation	KimuraNarita2021-3d1Q	
IdoEA2021		relation	multi-dimensional semantics	
Newmeyer2016		relation	pragmatic account of islands	
P-ordering and Scope		relation	Futagi-diss-2i	
KubotaLevine2021a		relation	IatridouZeijlstra2013	
OHE10-ellipsis-in-inquisitive-semantics-26		relation	OHE10-ellipsis-in-inquisitive-semantics-27	
P-ordering and Scope		relation	Futagi-diss-2ii	
Fukui1999b		relation	Fukui1986/1995	
Scope Ceiling		relation	Futagi-diss-7	
TonhauserBeaverRobertsSimons2013		relation	multi-dimensional semantics	
OHE10-ellipsis-in-inquisitive-semantics-44a		relation	Question Under Discussion (QUD)	
Fukui1988a		relation	Lexical Parametrization Hypothesis	
Nakamura2013a		relation	Kertz2010	
Iwasaki2018		relation	subject-orientation of zibun	
Takahashi2016		relation	c-commanding requirement of zibun binding	
OHE16-Movement-and-Islands-2b		relation	OHE16-Movement-and-Islands-2a-ii	
Yamaguchi2024		relation	adjunct ellipsis	
respective reading in disjunction		relation	KubotaLevine2020	
OHE10-ellipsis-in-inquisitive-semantics-23		relation	e-GIVENness	
Transfer-NF		relation	matrixTransfer	
Antilocality		relation	Antilocality	
symbiotic gap		relation	symbiotic gap	
Empty Noun		relation	OHE22-Nominal-Ellipsis-20d	
wh-movement		relation	TLS364	
SMT		relation	Merge-only hypothesis	
		relation	意識　consciousness　	
island violation		relation	island violation	
		relation	Adjunct ellipsis	
Generalized Predication		relation	No Foc	
Empty Noun		relation	OHE22-Nominal-Ellipsis-16b	
The Minimal Sentential Answer Strategy		relation	Kuno 1982-sec3-17d	
Kameyama1984-p230		relation	Kameyama1984-p230_J	
pragmatic strengthening		relation	pragmatic strengthening	
Surface Subject Constraint		relation	Surface Subject Constraint	
structure dependence		relation	NF1-40c	
no Top		relation	topic iterable	
Two Types of dake		relation	P-ordering and Scope	
c-commanding requirement of zibun binding		relation	c-commanding requirement of zibun binding	
subject-orientation of zibun		relation	Kishimoto2016-26bi	
extraction out of so-anaphora impossible		relation	sakamoto2022_13	
Sugisaki2016-53b-i-strict		relation	Argument Ellipsis Possible in Japanese	
verb-stranding VP-ellipsis analysis of Argument Ellipsis		relation	Kishimoto2008MS-14b-sloppy	
Neanderthals had language		relation	Deep cave constructions conducted by Neanderthals	
coordination scope generalization		relation	TLS105	
Lexical Resource Semantics (LRS)		relation	Lexical Resource Semantics (LRS)	
		relation		
definite_article_established		relation	VO_order_established	
Transfer Multiple Agreement		relation	NF3-30	
Stability of {XP, YP}		relation	No special feature involved in Predicate Fronting	
Ban Against Partial Discourse Deletion		relation	Kuno 1982-sec3-21c	
basic_order_changed		relation	preposition_stranding_possible	
bare phrase structure theory		relation	Principles and Parameters Model	
specifier-head agreement approach to ellipsis		relation	OHE22-Nominal-Ellipsis-60b	
		relation		
ADC		relation	ECP-T'	
T_emerged_bare_infinitives		relation	subjects_move_to_Spec_TP	
		relation		
		relation	生体音を音声で模して表現するということ	
Transfer-NF		relation	F interpreted relative to phase	
		relation		
OHE16-Movement-and-Islands-4a-ii		relation	OHE16-Movement-and-Islands-4a-i	
OHE22-Nominal-Ellipsis-52a		relation	OHE22-Nominal-Ellipsis-51a	
Merge (n-ary)		relation	structure dependence	
Hypothesis W-2		relation	NF2-137biii	
movement_verbs_declined		relation	verbal_Agreement_simplified	
partial syntactic sensitivity		relation	Lasnik1999	
Kuroda1986a-48		relation	NP movement (in Japanese)	
Merge (n-ary)		relation	copy theory	
structure dependency		relation	structure dependency	
STC		relation	Holmberg’s Generalization:	
		relation		
Symmetry Principle		relation	STC	
		relation		
FSC		relation	(non-)obligatory SAI	
in-situ topic		relation	in-situ topic	
FAME		relation		
OHE10-ellipsis-in-inquisitive-semantics-19		relation	OHE10-ellipsis-in-inquisitive-semantics-17b	
zibun-binding via theta-prominence		relation	Takano2008MS-51b	
Kuroda1986a-82		relation	tough sentence (in Japanese)	
Phrasal Sister Condition		relation	LasnikPark-raised	
Generalized Predication		relation	topic phrases D-linked	
NF3-29		relation	NF3-29d	
NP-Ellipsis		relation	OHE22-Nominal-Ellipsis-19c	
DoC1		relation	DoC2	
clitic climbing		relation	clitic climbing	
excluded middle presupposition		relation	excluded middle presupposition	
labeling algorithm		relation	2013_Chomsky-19	
Licensing and Identification of pro		relation	OHE22-Nominal-Ellipsis-63a	
argument composition		relation	argument composition	
ought_developed_14		relation	ought_not_to_established	
		relation		
abe2011LR		relation	sakEx37	
NF3-30		relation	NF3-30c	
Kuroda1978-51		relation	tokoro phrase as modifier	
Unboundedness of Merge		relation	structure dependence	
NP-Ellipsis		relation	OHE22-Nominal-Ellipsis-20a	
		relation		
The Minimal Sentential Answer Strategy		relation	Kuno 1982-sec2-14a	
adjuncts not elidable		relation	Adjunct ellipsis is possible	
V_and_V_used		relation	and_reanalysis	
		relation	GrammarXiv	
		relation		
		relation		
NF4-19		relation	NF4-18b	
Ban Against Partial Discourse Deletion		relation	Kuno 1982-18d	
Kuno 1982 24a		relation	The Minimal Sentential Answer Strategy	
		relation		
no checking-Merge		relation	No Foc	
labeling algorithm		relation	2014_Epstein+Kitahara+Seely-7a	
NL-lambda		relation	NL-lambda	
c-command NPI licensing of indeterminate pronoun + mo		relation	c-command NPI licensing of indeterminate pronoun + mo	
Cyclic Transfer by phase		relation	N700	
trichotomy of zibun		relation	logophoric zibun	
isomorphic sluicing		relation	OHE20-Sluicing-and-Its-Subtypes-29b	
non-isomorphic sluicing		relation	OHE20-Sluicing-and-Its-Subtypes-23b	
Oshima2004-fn7(i)a		relation	subject-orientation of zibun	
Japanese -to 'that' is a complementizer		relation	Saito2016-32a	
Argument Ellipsis Possible in Japanese		relation	Sugisaki2016-5-ii	
different_structures_in_competition		relation	syntactic_change_interacted	
pragmatic account of islands		relation	TLS546	
Merge (n-ary)		relation	ubiquity of movement	
pre-sluice		relation	pre-sluice	
Stability of {XP, YP}		relation	No Foc	
subject-orientation of zibun		relation	Koizumi2008MS-6b	
Matsuda2007		relation	Usuki2008	
Merge-only hypothesis		relation	copy theory	
dative_lost		relation	accusative_absolute_declined	
Binding Condition B		relation	TLS367	
		relation		
scope island		relation	TLS579	
partial syntactic sensitivity		relation	Miller1990	
eru sentence		relation	eru sentence	
KNGeneralization		relation	KimuraNarita2021-1A2	
LF-copying analysis of Argument Ellipsis		relation	LF-copy	
Intrinsic Uniformity		relation	interarboreal movement banned by minimal computation	
chain		relation	binarity of Merge	
Kuroda1986a-88		relation	multiple nominative sentence	
Transfer Multiple Agreement		relation	NF3-47	
scope anomaly/topicalization correlation		relation	scope anomaly/topicalization correlation	
Oshima's 2004 Revised Subjecthood Condition on Zibun		relation	Oshima2004-19b	
Binding Condition		relation	Binding Condition	
agreement		relation	agreement	
S-structure Effect		relation	S-structure Effect	
no checking-Merge		relation	No special feature involved in scrambling	
		relation		
LF-copying analysis of Argument Ellipsis		relation	antecedent=transferred	
Agr_weak		relation	not_XP	
Licensing and Identification of pro		relation	OHE22-Nominal-Ellipsis-63b	
Japanese scrambling		relation	Japanese scrambling	
		relation		
local context update		relation	local context update	
